PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,FamilySize,Alone
1,0,3,0,1,1,0,7,0,2,2,0
2,1,1,1,2,1,0,71,1,0,2,0
3,1,3,1,1,0,0,7,0,2,1,1
4,1,1,1,2,1,0,53,1,2,2,0
5,0,3,0,2,0,0,8,0,2,1,1
6,0,3,0,1,0,0,8,0,1,1,1
7,0,1,0,3,0,0,51,1,2,1,1
8,0,3,0,0,3,1,21,0,2,5,0
9,1,3,1,1,0,2,11,0,2,3,0
10,1,2,1,0,1,0,30,0,0,2,0
11,1,3,1,0,1,1,16,1,2,3,0
12,1,1,1,3,0,0,26,1,2,1,1
13,0,3,0,1,0,0,8,0,2,1,1
14,0,3,0,2,1,5,31,0,2,7,0
15,0,3,1,0,0,0,7,0,2,1,1
16,1,2,1,3,0,0,16,0,2,1,1
17,0,3,0,0,4,1,29,0,1,6,0
18,1,2,0,1,0,0,13,0,2,1,1
19,0,3,1,1,1,0,18,0,2,2,0
20,1,3,1,1,0,0,7,0,0,1,1
21,0,2,0,2,0,0,26,0,2,1,1
22,1,2,0,2,0,0,13,1,2,1,1
23,1,3,1,0,0,0,8,0,1,1,1
24,1,1,0,1,0,0,35,1,2,1,1
25,0,3,1,0,3,1,21,0,2,5,0
26,1,3,1,2,1,5,31,0,2,7,0
27,0,3,0,1,0,0,7,0,0,1,1
28,0,1,0,1,3,2,263,1,2,6,0
29,1,3,1,1,0,0,7,0,1,1,1
30,0,3,0,1,0,0,7,0,2,1,1
31,0,1,0,2,0,0,27,0,0,1,1
32,1,1,1,1,1,0,146,1,0,2,0
33,1,3,1,1,0,0,7,0,1,1,1
34,0,2,0,4,0,0,10,0,2,1,1
35,0,1,0,1,1,0,82,0,0,2,0
36,0,1,0,2,1,0,52,0,2,2,0
37,1,3,0,1,0,0,7,0,0,1,1
38,0,3,0,1,0,0,8,0,2,1,1
39,0,3,1,1,2,0,18,0,2,3,0
40,1,3,1,0,1,0,11,0,0,2,0
41,0,3,1,2,1,0,9,0,2,2,0
42,0,2,1,1,1,0,21,0,2,2,0
43,0,3,0,1,0,0,7,0,0,1,1
44,1,2,1,0,1,2,41,0,0,4,0
45,1,3,1,1,0,0,7,0,1,1,1
46,0,3,0,1,0,0,8,0,2,1,1
47,0,3,0,1,1,0,15,0,1,2,0
48,1,3,1,1,0,0,7,0,1,1,1
49,0,3,0,1,2,0,21,0,0,3,0
50,0,3,1,1,1,0,17,0,2,2,0
51,0,3,0,0,4,1,39,0,2,6,0
52,0,3,0,1,0,0,7,0,2,1,1
53,1,1,1,3,1,0,76,1,0,2,0
54,1,2,1,1,1,0,26,0,2,2,0
55,0,1,0,4,0,1,61,1,0,2,0
56,1,1,0,1,0,0,35,1,2,1,1
57,1,2,1,1,0,0,10,0,2,1,1
58,0,3,0,1,0,0,7,0,0,1,1
59,1,2,1,0,1,2,27,0,2,4,0
60,0,3,0,0,5,2,46,0,2,8,0
61,0,3,0,1,0,0,7,0,0,1,1
62,1,1,1,2,0,0,80,1,2,1,1
63,0,1,0,2,1,0,83,1,2,2,0
64,0,3,0,0,3,2,27,0,2,6,0
65,0,1,0,1,0,0,27,0,0,1,1
66,1,3,0,1,1,1,15,0,0,3,0
67,1,2,1,1,0,0,10,1,2,1,1
68,0,3,0,1,0,0,8,0,2,1,1
69,1,3,1,1,4,2,7,0,2,7,0
70,0,3,0,1,2,0,8,0,2,3,0
71,0,2,0,2,0,0,10,0,2,1,1
72,0,3,1,1,5,2,46,0,2,8,0
73,0,2,0,1,0,0,73,0,2,1,1
74,0,3,0,1,1,0,14,0,0,2,0
75,1,3,0,2,0,0,56,0,2,1,1
76,0,3,0,1,0,0,7,1,2,1,1
77,0,3,0,1,0,0,7,0,2,1,1
78,0,3,0,1,0,0,8,0,2,1,1
79,1,2,0,0,0,2,29,0,2,3,0
80,1,3,1,1,0,0,12,0,2,1,1
81,0,3,0,1,0,0,9,0,2,1,1
82,1,3,0,1,0,0,9,0,2,1,1
83,1,3,1,1,0,0,7,0,1,1,1
84,0,1,0,1,0,0,47,0,2,1,1
85,1,2,1,1,0,0,10,0,2,1,1
86,1,3,1,2,3,0,15,0,2,4,0
87,0,3,0,1,1,3,34,0,2,5,0
88,0,3,0,1,0,0,8,0,2,1,1
89,1,1,1,1,3,2,263,1,2,6,0
90,0,3,0,1,0,0,8,0,2,1,1
91,0,3,0,1,0,0,8,0,2,1,1
92,0,3,0,1,0,0,7,0,2,1,1
93,0,1,0,2,1,0,61,1,2,2,0
94,0,3,0,1,1,2,20,0,2,4,0
95,0,3,0,3,0,0,7,0,2,1,1
96,0,3,0,1,0,0,8,0,2,1,1
97,0,1,0,4,0,0,34,1,0,1,1
98,1,1,0,1,0,1,63,1,0,2,0
99,1,2,1,2,0,1,23,0,2,2,0
100,0,2,0,2,1,0,26,0,2,2,0
101,0,3,1,1,0,0,7,0,2,1,1
